sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present_absent,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow
I.33161-003,email,25/03/2088,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.33161-003,NA,larv,none,1,Western Indian Ocean,NA,NA,NA,NA,-3.616666667,55.20000000000,NA,NA,dmm,07/05/1974,5,7,1974,07/05/1974 - 07/05/1974,RV Seychelles III,RV Seychelles III_1974,PLANKTON NET (O.5 MM MBH),500,,,,,,,,#N/A,oblique tow,NA,NA,NA,,1,RV Seychelles III_5/7/1974_NA_NA,NA,NA,whole,Australian Museum,NA,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,5,NA,,NA,NA,NA,NA,NA,NA,NA,8107417,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-18,google_earth,
I.33233-003,email,25/03/2089,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.33233-003,NA,larv,none,1,Western Indian Ocean,NA,NA,NA,NA,-9.166666667,50.93333333333,NA,NA,dmm,17/12/1974,12,17,1974,17/12/1974 - 17/12/1974,RV Providence II,RV Providence_1974,PLANKTON NET (O.5 MM MBH),500,,,,,,,,#N/A,oblique tow,NA,NA,NA,,1,RV Providence II_12/17/1974_NA_NA,NA,NA,whole,Australian Museum,NA,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,5,NA,4,SL,NA,NA,4,NA,NA,NA,8107633,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-1215,google_earth,
I.36590-003,email,25/03/2090,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.36590-003,NA,larv,none,1,"New South Wales, Australia",Mid-North Coast,East of Smoky Cape,NA,NA,-30.970000000,154.68000000000,NA,NA,dms,13/05/1989,5,13,1989,13/05/1989 - 13/05/1989,RV Franklin,FR 5/89,PLANKTON RING NET ,,0.7853981634,1,,,,,,#N/A,"surface,info from ""other remakrs"" column of cleaned AuMu sheet",NA,0,0,,1,RV Franklin_5/13/1989_NA_NA,NA,NA,whole,Australian Museum,"Miskiewicz, Dr. Tony","Miskiewicz, Dr. Tony",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8125869,NA,NA,NA,NA,NA,06/89 ctd,,,,,NA,,,,,,-94,google_earth,
OES1106084Etel.01,PICDR-113137,08/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Hawaii,17nm W of Big Island,84,pelagic,19.688666667,-156.36533333333,19.7745,0,dmm,9/5/2011,9,5,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,130,,12.038,3 knots tow speed,night,0,NA,23,1,Oscar Elton Sette_9/5/2011_84_night,NA,8306220,whole,"""headrope footage??""",Bob Humphries,"O'Malley, J",PIFSC,6,NA,25,FL,25,NA,NA,NA,25,von Bertalanffy,NA,NA,0 lutjanid larvae,NA,NA,NA,SE-1106_01,19°42.167' N,156° 14.516' W,dms,09/01/2011,"min temp listed is average of surface to AT DEPTH, max temp is temp at surface",NA,34.913,23.523,26.471,4.347,,,
Parrish89_5,4,25/06/2021,Biodiversity Hertiage Library,"""Aprion virescens""",peer reviewed publication,English,whole text,https://www.biodiversitylibrary.org/page/3235135,email with Frank Parrish,Fishery bulletin V87 1989,juv,caught with handline,1,Main Hawaiian Islands,Oahu," entrance of Kaneohe Bay, at 30m isobath, between Moko'o'Lo'e and Mokapu Penn.",2,"hard, flat, no vertical relief, Halimeda, thin veneer of sand",21.476777778,-157.77333333333,NA,NA,dms,October 1988,10,NA,1988,NA,NA,scuba_dive_89,HAND LINES AND SCUBA,,,,,,,,,#N/A,"SCUBA after fishing and fishing, 2 lines with three no.10 circle hooks from a boat",day,40,40,40,1,NA_10/NA/1988_2_day,NA,NA,whole,NA,Frank Parrish,Frank Parrish,PIFSC,6,155.5,155.5,TL,NA,NA,"11.2 to 19.9 cm, landed indiv only",155.5,NA,NA,NA,NA,NA,NA,y,"Fish eye lens and muscle, A mysid 15mm TL",,,,,,"benthos: flat bottom with thin halimeda stands, 1 caught, 5 observed (2 on SCUBA)",,,,,,,,
RoyM12-1,1,NA,pifsc_oracle_db,none,peer reviewed publication,English,supplement,doi.org/10.1002/mcf2.10162,RoyM12-1,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,juv,none,1,Main Hawaiian Islands,NA,NA,NA,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisherman_unkown,HAND LINE,NA,,NA,NA,NA,NA,NA,,NA,hand line,NA,NA,NA,NA,1,NA_NA/NA/NA_NA_NA,NA,NA,whole,pifsc??,NA,"O'Malley, J",PIFSC,6,106,94,FL,94,NA,NA,NA,93,von Bertalanffy,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
RoyM12-2,1,NA,pifsc_oracle_db,none,peer reviewed publication,English,supplement,doi.org/10.1002/mcf2.10163,RoyM12-2,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,juv,none,1,Main Hawaiian Islands,NA,NA,NA,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisherman_unkown,HAND LINE,NA,,NA,NA,NA,NA,NA,,NA,hand line,NA,NA,NA,NA,1,NA_NA/NA/NA_NA_NA,NA,NA,whole,pifsc??,NA,"O'Malley, J",PIFSC,6,106,99,FL,99,NA,NA,NA,89,von Bertalanffy,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
RoyM12-3,1,NA,pifsc_oracle_db,none,peer reviewed publication,English,supplement,doi.org/10.1002/mcf2.10164,RoyM12-3,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,juv,none,1,Main Hawaiian Islands,NA,NA,NA,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisherman_unkown,HAND LINE,NA,,NA,NA,NA,NA,NA,,NA,hand line,NA,NA,NA,NA,1,NA_NA/NA/NA_NA_NA,NA,NA,whole,pifsc??,NA,"O'Malley, J",PIFSC,6,106,125,FL,125,NA,NA,NA,128,von Bertalanffy,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
SE1206001ETEL-01,PICDR-113137,08/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Oahu,"25nm West, leeward side",1,pelagic,21.378950000,-158.64295000000,21.46006667,0,dmm,8/12/2012,8,12,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,381,,35.2806,3 knots tow speed,night,0,"NA, 3 casts listed, 1 hr per depth",255,1,Oscar Elton Sette_8/12/2012_1_night,1,24343614,whole,PIFSC,Bob Humphreys,"O'Malley, J",PIFSC,6,106,17,FL,17,NA,17,NA,25,von Bertalanffy,NA,NA,3 lutjanid larvae,NA,NA,NA,"RV002, st.2, ctd 1 630",21°24.218 N,158°36.804 W,dms,08/13/2012,temp listed is average of surface to 35m,25.793,35.1838267,25.772,25.806,4.494,,,
SE1206004ETEL-02,PICDR-113137,08/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls","cobb trawl data sheet, matched with peer reviewed supplement",english,supplement,doi.org/10.1002/mcf2.10156,doi.org/10.1002/mcf2.10156,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Oahu,50nm off leeward side,4,pelagic,21.364983333,-159.11936666667,21.44628333,0,dmm,8/13/2012,8,13,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,342,,31.6692,3 knots tow speed,night,0,NA,189,1,Oscar Elton Sette_8/13/2012_4_night,2,21851748,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,NA,14,FL,14,NA,14.1,NA,19,von Bertalanffy,NA,NA,3 lutjanid larvae,NA,NA,NA,"RV002, st.3, ctd 2 1730",21°21.032 N,159°07.291 W,dms,08/14/2012,temp listed is average of surface to 35m,25.823,35.203,25.791,25.868,4.514,,,
SE120629ETEL-02,PICDR-113137,09/01/2021,in person,specimen vials,cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Hawaii,50 nm off leeward Kona coast,29,pelagic,19.601333333,-156.89558333333,19.7776,0,dmm,8/20/2012,8,20,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,337,,31.2062,3 knots tow speed,night,0,NA,175,1,Oscar Elton Sette_8/20/2012_29_night,4,21532278,whole,PIFSC,Bob Humphries,,PIFSC,6,NA,29.2,FL,29.2,NA,25.5,NA,16,von Bertalanffy,NA,NA,2 lutjanid,NA,NA,NA,st.9,19 34.794 N,156 55.766 W,dmm,08/21/2012,temp listed is average of surface to 35m,26,35.032,25.977,26.053,4.469,,,
SE120632ETEL-05,PICDR-113137,09/10/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,"eteline, pelagic stage",1,Main Hawaiian Islands,Hawaii,25 nm off leeward Kona coast,32,pelagic,19.656866667,-156.42330000000,19.4668,0,dmm,8/21/2012,8,21,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,338,,31.2988,3 knots tow speed,night,0,NA,181,1,Oscar Elton Sette_8/21/2012_32_night,2,21596172,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,NA,25,FL,25,NA,NA,NA,26,von Bertalanffy,NA,NA,NA,NA,NA,NA,st 10,19 40.800 N,156 25.438 W,dmm,08/22/2012,temp listed is average of surface to 35m,25.522,35.225,24.478,26.314,4.563,,,
SE120632ETEL-20,PICDR-113137,09/10/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,"eteline, pelagic stage",1,Main Hawaiian Islands,Hawaii,25 nm off leeward Kona coast,32,pelagic,19.656866667,-156.42330000000,19.4668,0,dmm,8/21/2012,8,21,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,338,,31.2988,3 knots tow speed,night,0,NA,181,1,Oscar Elton Sette_8/21/2012_32_night,2,21596172,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,NA,18,FL,18,NA,NA,NA,25,von Bertalanffy,NA,NA,NA,NA,NA,NA,st 10,19 40.800 N,156 25.438 W,dmm,08/22/2012,temp listed is average of surface to 35m,25.522,35.225,24.478,26.314,4.563,,,
SE120640LUTJ-01,PICDR-113137,09/10/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,lutjanid,1,Main Hawaiian Islands,Lanai,75 nm off leeward Lanai,40,pelagic,20.742433333,-158.35316666667,20.86735,0,dmm,8/24/2012,8,24,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,373,,34.5398,3 knots tow speed,night,0,NA,171,1,Oscar Elton Sette_8/24/2012_40_night,1,23832462,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,20.17142857,13,FL,13,NA,NA,NA,10,von Bertalanffy,NA,NA,NA,NA,NA,NA,st 12,20 43.703 N,158 20.654 W,dmm,08/24/2012,temp listed is average of surface to 35m,25.931,35.232,25.786,26.053,4.498,-4240,paper,
TC8504_003_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W5N1,3,"pelagic, windward",21.536670000,-157.75700000000,NA,NA,dd,9/6/1985,9,6,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,20,200,5,R/V Thomson Cromwell_9/6/1985_3_night,5,628.1,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.28,41.52,26.05,26.52,,-435,google_earth,434
TC8504_005_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W5D2,5,"pelagic, windward",21.550000000,-157.77700000000,NA,NA,dd,9/7/1985,9,7,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,2,R/V Thomson Cromwell_9/7/1985_5_day,2,584.5,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.15,41.51,25.99,26.38,,-502,google_earth,202
TC8504_008_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W2D2,8,"nearshore, windward",21.531670000,-157.79000000000,NA,NA,dd,9/7/1985,9,7,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,10,20,80,1,R/V Thomson Cromwell_9/7/1985_8_day,1,609.1,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.26,41.56,26.02,26.34,,-185,google_earth,405
TC8504_010_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W2N2,10,"nearshore, windward",21.533330000,-157.79800000000,NA,NA,dd,9/7/1985,9,7,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,20,30,80,1,R/V Thomson Cromwell_9/7/1985_10_night,1,603,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.62,41.59,25.15,25.91,,-105,google_earth,1874
TC8504_011_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,3.622222222,3.1,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_b,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.1,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_c,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.5,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_d,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_e,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_f,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_g,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,3.5,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_h,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,4.2,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_011_9_i,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"pelagic, windward",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,0,20,200,1,R/V Thomson Cromwell_9/8/1985_11_day,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,5,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449
TC8504_014_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15N1,14,"pelagic, windward",21.526670000,-157.58700000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,20,200,1,R/V Thomson Cromwell_9/8/1985_14_night,1,589.7,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,"double checked high salinity values, they track",26.58,41.35,26.14,26.73,,,,451
TC8504_015_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15N2,15,"pelagic, windward",21.513330000,-157.60800000000,NA,NA,dd,9/9/1985,9,9,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,night,0,20,200,3,R/V Thomson Cromwell_9/9/1985_15_night,3,603.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.54,41.43,26.01,26.78,,,,450
TC8504_031_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1D2,31,"nearshore, leeward",21.371670000,-158.15800000000,NA,NA,dd,9/11/1985,9,11,1985,6-15 September 1985,R/V Thomson Cromwell,8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,day,10,20,80,2,R/V Thomson Cromwell_9/11/1985_31_day,2,592.1,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.8,41.5,26.74,26.86,,,,288
